PollEndDate,Pollster,Paarty,NSW,VIC,QLD,SA,WA
17/05/2014,Nielsen,ALP,43,45,35,44,22
17/05/2014,Nielsen,LNP,36,34,40,33,34
17/05/2014,Nielsen,GRN,14,15,7,14,23
17/05/2014,Nielsen,PUP,3,2,10,3,13
17/05/2014,Nielsen,OTH,5,4,8,6,7
12/04/2014,Nielsen,ALP,33,37,38,38,20
12/04/2014,Nielsen,LNP,43,40,38,39,37
12/04/2014,Nielsen,GRN,15,19,11,12,27
12/04/2014,Nielsen,IND,3,2,9,3,11
12/04/2014,Nielsen,OTH,6,3,5,9,5
31/03/2014,Newspoll,ALP,38,38,34,38,29
31/03/2014,Newspoll,LNP,40,36,41,37,46
31/03/2014,Newspoll,GRN,11,15,8,9,15
31/03/2014,Newspoll,OTH,11,11,17,16,10
15/03/2014,Nielsen,ALP,36,38,34,38,31
15/03/2014,Nielsen,LNP,45,41,44,38,46
15/03/2014,Nielsen,GRN,11,15,9,9,12
15/03/2014,Nielsen,PUP,2,2,8,5,4
15/03/2014,Nielsen,OTH,7,3,5,10,7
15/02/2014,Nielsen,ALP,34,33,33,34,29
15/02/2014,Nielsen,LNP,45,44,45,45,42
15/02/2014,Nielsen,GRN,13,14,8,11,14
15/02/2014,Nielsen,IND,5,4,8,9,7
15/02/2014,Nielsen,OTH,4,6,7,2,8
27/12/2013,Newspoll,ALP,36,34,32,33,36
27/12/2013,Newspoll,LNP,45,41,44,42,41
27/12/2013,Newspoll,GRN,9,14,8,9,10
27/12/2013,Newspoll,OTH,10,11,16,16,13
23/11/2013,Nielsen,ALP,35,39,42,28,33
23/11/2013,Nielsen,LNP,45,40,38,42,39
23/11/2013,Nielsen,GRN,10,11,8,15,14
23/11/2013,Nielsen,IND,4,3,6,12,5
23/11/2013,Nielsen,OTH,6,7,5,2,8
5/09/2013,Newspoll,ALP,35,33,30,31,30
5/09/2013,Newspoll,LNP,46,44,48,44,51
5/09/2013,Newspoll,GRN,8,12,5,10,11
5/09/2013,Newspoll,OTH,11,11,17,15,8
22/08/2013,Nielsen,ALP,34,36,39,38,27
22/08/2013,Nielsen,LNP,50,43,49,35,58
22/08/2013,Nielsen,GRN,9,15,5,15,10
22/08/2013,Nielsen,IND,4,3,1,7,1
22/08/2013,Nielsen,OTH,3,3,6,5,4
18/08/2013,Newspoll,ALP,34,37,37,32,30
18/08/2013,Newspoll,LNP,51,39,46,46,52
18/08/2013,Newspoll,GRN,7,17,8,10,9
18/08/2013,Newspoll,OTH,8,7,9,12,9
8/08/2013,Nielsen,ALP,39,34,38,36,35
8/08/2013,Nielsen,LNP,47,45,46,41,53
8/08/2013,Nielsen,GRN,8,14,8,11,8
8/08/2013,Nielsen,IND,3,4,2,7,1
8/08/2013,Nielsen,OTH,2,3,6,5,4
13/07/2013,Nielsen,ALP,40,39,42,33,38
13/07/2013,Nielsen,LNP,44,43,44,38,48
13/07/2013,Nielsen,GRN,9,12,5,14,10
13/07/2013,Nielsen,IND,6,2,5,8,2
13/07/2013,Nielsen,FFP,0,1,1,6,1
13/07/2013,Nielsen,OTH,1,2,3,1,2
24/06/2013,Newspoll,ALP,30,37,29,30,25
24/06/2013,Newspoll,LNP,48,43,46,44,55
24/06/2013,Newspoll,GRN,9,12,8,10,11
24/06/2013,Newspoll,OTH,13,8,17,16,9
15/06/2013,Nielsen,ALP,27,33,26,22,33
15/06/2013,Nielsen,LNP,53,40,50,48,47
15/06/2013,Nielsen,GRN,9,15,6,14,12
15/06/2013,Nielsen,IND,6,5,10,8,1
15/06/2013,Nielsen,FFP,1,1,1,5,1
15/06/2013,Nielsen,OTH,5,6,7,3,6
18/05/2013,Nielsen,ALP,28,38,30,32,31
18/05/2013,Nielsen,LNP,48,38,45,42,49
18/05/2013,Nielsen,GRN,12,14,7,13,11
18/05/2013,Nielsen,IND,5,5,8,7,1
18/05/2013,Nielsen,FFP,2,1,2,1,2
18/05/2013,Nielsen,OTH,5,3,7,5,6
13/04/2013,Nielsen,IND,7,5,7,7,1
13/04/2013,Nielsen,FFP,1,1,0,3,2
13/04/2013,Nielsen,LNP,51,38,54,55,50
13/04/2013,Nielsen,ALP,27,35,25,23,24
13/04/2013,Nielsen,GRN,11,16,9,9,10
13/04/2013,Nielsen,OTH,3,5,4,2,3
31/03/2013,Newspoll,LNP,46,44,49,41,50
31/03/2013,Newspoll,ALP,33,37,30,32,31
31/03/2013,Newspoll,GRN,10,12,7,11,10
31/03/2013,Newspoll,OTH,11,7,14,16,9
16/03/2013,Nielsen,IND,6,4,6,9,4
16/03/2013,Nielsen,FFP,0.5,2,3,3,3
16/03/2013,Nielsen,LNP,49,45,47,46,48
16/03/2013,Nielsen,ALP,30,34,29,28,30
16/03/2013,Nielsen,GRN,9,11,10,8,12
16/03/2013,Nielsen,OTH,6,3,5,6,2
16/02/2013,Nielsen,IND,7,3,7,8,5
16/02/2013,Nielsen,FFP,1,3,4,3,3
16/02/2013,Nielsen,LNP,49,42,46,54,49
16/02/2013,Nielsen,ALP,26,37,27,23,32
16/02/2013,Nielsen,GRN,12,11,11,11,8
16/02/2013,Nielsen,OTH,5,4,5,2,3
31/12/2012,Newspoll,LNP,43,40,47,42,48
31/12/2012,Newspoll,ALP,34,40,32,36,32
31/12/2012,Newspoll,GRN,12,12,7,10,11
31/12/2012,Newspoll,OTH,11,8,14,12,9
15/12/2012,Nielsen,IND,6,5,7,6,3
15/12/2012,Nielsen,FFP,1,2,1,3,1
15/12/2012,Nielsen,LNP,41,41,46,47,49
15/12/2012,Nielsen,ALP,34,34,35,34,34
15/12/2012,Nielsen,GRN,13,12,6,8,11
15/12/2012,Nielsen,OTH,6,5,5,2,1
17/11/2012,Nielsen,IND,5,4,4,4,4
17/11/2012,Nielsen,FFP,2,3,3,5,0
17/11/2012,Nielsen,LNP,48,43,45,39,50
17/11/2012,Nielsen,ALP,32,34,33,38,30
17/11/2012,Nielsen,GRN,10,15,11,12,13
17/11/2012,Nielsen,OTH,3,2,3,1,4
20/10/2012,Nielsen,IND,7,5,5,5,6
20/10/2012,Nielsen,FFP,1,2,3,2,2
20/10/2012,Nielsen,LNP,44,38,48,40,48
20/10/2012,Nielsen,ALP,34,37,30,37,26
20/10/2012,Nielsen,GRN,10,13,7,13,13
20/10/2012,Nielsen,OTH,4,4,7,3,4
30/09/2012,Newspoll,LNP,47,41,47,42,51
30/09/2012,Newspoll,ALP,31,37,30,33,30
30/09/2012,Newspoll,GRN,10,12,9,11,11
30/09/2012,Newspoll,OTH,12,10,14,14,8
15/09/2012,Nielsen,IND,6,3,6,7,4
15/09/2012,Nielsen,FFP,0.5,2,2,3,2
15/09/2012,Nielsen,LNP,45,44,48,36,50
15/09/2012,Nielsen,ALP,35,34,30,39,34
15/09/2012,Nielsen,GRN,9,12,9,12,9
15/09/2012,Nielsen,OTH,4,5,5,3,1
25/08/2012,Nielsen,IND,7,4,7,6,5
25/08/2012,Nielsen,FFP,2,3,2,2,1
25/08/2012,Nielsen,LNP,45,41,49,44,48
25/08/2012,Nielsen,ALP,30,35,28,31,36
25/08/2012,Nielsen,GRN,10,13,9,15,9
25/08/2012,Nielsen,OTH,5,5,5,3,1
28/07/2012,Nielsen,IND,5,3,7,9,5
28/07/2012,Nielsen,FFP,1,3,1,3,3
28/07/2012,Nielsen,LNP,45,45,53,40,56
28/07/2012,Nielsen,ALP,30,34,26,30,25
28/07/2012,Nielsen,GRN,14,13,8,13,6
28/07/2012,Nielsen,OTH,4,2,5,5,5
